,Año,Periodo,Intensidad media diaria de vehículos,FECHA,y,ds
12,2016,Enero,13959.0,2016-01-01,13959.0,2016-01-01
13,2016,Febrero,14855.0,2016-02-01,14855.0,2016-02-01
14,2016,Marzo,17717.0,2016-03-01,17717.0,2016-03-01
15,2016,Abril,16462.0,2016-04-01,16462.0,2016-04-01
16,2016,Mayo,17503.0,2016-05-01,17503.0,2016-05-01
17,2016,Junio,18907.0,2016-06-01,18907.0,2016-06-01
18,2016,Julio,24691.0,2016-07-01,24691.0,2016-07-01
19,2016,Agosto,26511.0,2016-08-01,26511.0,2016-08-01
20,2016,Septiembre,19320.0,2016-09-01,19320.0,2016-09-01
21,2016,Octubre,17426.0,2016-10-01,17426.0,2016-10-01
22,2016,Noviembre,15911.0,2016-11-01,15911.0,2016-11-01
23,2016,Diciembre,16260.0,2016-12-01,16260.0,2016-12-01
24,2017,Enero,14554.0,2017-01-01,14554.0,2017-01-01
25,2017,Febrero,15641.0,2017-02-01,15641.0,2017-02-01
26,2017,Marzo,16633.0,2017-03-01,16633.0,2017-03-01
27,2017,Abril,20252.0,2017-04-01,20252.0,2017-04-01
28,2017,Mayo,18262.0,2017-05-01,18262.0,2017-05-01
29,2017,Junio,20116.0,2017-06-01,20116.0,2017-06-01
30,2017,Julio,25129.0,2017-07-01,25129.0,2017-07-01
31,2017,Agosto,26909.0,2017-08-01,26909.0,2017-08-01
32,2017,Septiembre,20254.0,2017-09-01,20254.0,2017-09-01
33,2017,Octubre,18210.0,2017-10-01,18210.0,2017-10-01
34,2017,Noviembre,16545.0,2017-11-01,16545.0,2017-11-01
35,2017,Diciembre,17015.0,2017-12-01,17015.0,2017-12-01
36,2018,Enero,15423.0,2018-01-01,15423.0,2018-01-01
37,2018,Febrero,15972.0,2018-02-01,15972.0,2018-02-01
38,2018,Marzo,17925.0,2018-03-01,17925.0,2018-03-01
39,2018,Abril,19074.0,2018-04-01,19074.0,2018-04-01
40,2018,Mayo,19054.0,2018-05-01,19054.0,2018-05-01
41,2018,Junio,20350.0,2018-06-01,20350.0,2018-06-01
42,2018,Julio,25235.0,2018-07-01,25235.0,2018-07-01
43,2018,Agosto,27642.0,2018-08-01,27642.0,2018-08-01
44,2018,Septiembre,20951.0,2018-09-01,20951.0,2018-09-01
45,2018,Octubre,19011.0,2018-10-01,19011.0,2018-10-01
46,2018,Noviembre,17615.0,2018-11-01,17615.0,2018-11-01
47,2018,Diciembre,17263.0,2018-12-01,17263.0,2018-12-01
48,2019,Enero,16202.0,2019-01-01,16202.0,2019-01-01
49,2019,Febrero,17275.0,2019-02-01,17275.0,2019-02-01
50,2019,Marzo,18371.0,2019-03-01,18371.0,2019-03-01
51,2019,Abril,21270.0,2019-04-01,21270.0,2019-04-01
52,2019,Mayo,19623.0,2019-05-01,19623.0,2019-05-01
53,2019,Junio,22022.0,2019-06-01,22022.0,2019-06-01
54,2019,Julio,25950.0,2019-07-01,25950.0,2019-07-01
55,2019,Agosto,28740.0,2019-08-01,28740.0,2019-08-01
56,2019,Septiembre,21206.0,2019-09-01,21206.0,2019-09-01
57,2019,Octubre,19423.0,2019-10-01,19423.0,2019-10-01
58,2019,Noviembre,18214.0,2019-11-01,18214.0,2019-11-01
59,2019,Diciembre,18338.0,2019-12-01,18338.0,2019-12-01
