,ANYO_x,FECHA,count,TOTAL_VICTIMAS_24H
0,2016,2016/1/2,6,8
1,2016,2016/1/1,5,7
2,2016,2016/1/4,4,7
3,2016,2016/1/5,4,5
4,2016,2016/1/6,3,7
5,2016,2016/1/7,3,5
6,2016,2016/1/3,1,1
7,2016,2016/2/1,5,5
8,2016,2016/2/3,4,4
9,2016,2016/2/4,4,4
10,2016,2016/2/7,2,2
11,2016,2016/2/2,1,1
12,2016,2016/2/5,1,2
13,2016,2016/2/6,1,1
14,2016,2016/3/4,6,8
15,2016,2016/3/1,4,6
16,2016,2016/3/2,4,4
17,2016,2016/3/6,4,9
18,2016,2016/3/7,3,8
19,2016,2016/3/3,2,2
20,2016,2016/3/5,2,2
21,2016,2016/4/6,8,11
22,2016,2016/4/1,5,6
23,2016,2016/4/4,4,6
24,2016,2016/4/2,3,4
25,2016,2016/4/3,2,3
26,2016,2016/4/5,2,3
27,2016,2016/4/7,2,2
28,2016,2016/5/2,6,8
29,2016,2016/5/4,5,7
30,2016,2016/5/6,4,13
31,2016,2016/5/3,3,3
32,2016,2016/5/5,3,3
33,2016,2016/5/1,2,4
34,2016,2016/5/7,2,4
35,2016,2016/6/4,12,18
36,2016,2016/6/6,7,9
37,2016,2016/6/5,6,7
38,2016,2016/6/1,5,6
39,2016,2016/6/3,5,5
40,2016,2016/6/2,4,7
41,2016,2016/6/7,3,10
42,2016,2016/7/7,7,20
43,2016,2016/7/4,4,6
44,2016,2016/7/2,3,5
45,2016,2016/7/5,3,5
46,2016,2016/7/1,1,1
47,2016,2016/7/6,1,1
48,2016,2016/8/1,6,6
49,2016,2016/8/4,6,8
50,2016,2016/8/6,6,12
51,2016,2016/8/7,6,8
52,2016,2016/8/2,5,8
53,2016,2016/8/5,3,3
54,2016,2016/8/3,2,3
55,2016,2016/9/6,5,6
56,2016,2016/9/4,4,6
57,2016,2016/9/7,4,10
58,2016,2016/9/1,2,2
59,2016,2016/9/3,2,8
60,2016,2016/9/2,1,1
61,2016,2016/10/2,6,7
62,2016,2016/10/7,5,19
63,2016,2016/10/1,4,7
64,2016,2016/10/5,3,5
65,2016,2016/10/3,2,3
66,2016,2016/10/4,2,3
67,2016,2016/10/6,1,6
68,2016,2016/11/1,6,13
69,2016,2016/11/5,5,7
70,2016,2016/11/4,4,5
71,2016,2016/11/2,2,2
72,2016,2016/11/3,2,2
73,2016,2016/11/6,2,2
74,2016,2016/11/7,1,2
75,2016,2016/12/7,5,6
76,2016,2016/12/1,2,3
77,2016,2016/12/2,2,2
78,2016,2016/12/3,2,2
79,2016,2016/12/4,2,2
80,2016,2016/12/6,2,3
81,2016,2016/12/5,1,2
82,2017,2017/1/2,8,11
83,2017,2017/1/3,4,6
84,2017,2017/1/1,3,5
85,2017,2017/1/4,2,3
86,2017,2017/1/6,2,2
87,2017,2017/1/7,2,2
88,2017,2017/1/5,1,3
89,2017,2017/2/5,6,8
90,2017,2017/2/7,5,10
91,2017,2017/2/1,3,3
92,2017,2017/2/4,3,6
93,2017,2017/2/2,2,2
94,2017,2017/2/3,2,2
95,2017,2017/3/1,5,7
96,2017,2017/3/7,5,5
97,2017,2017/3/5,4,6
98,2017,2017/3/3,3,3
99,2017,2017/3/6,3,4
100,2017,2017/3/4,1,2
101,2017,2017/4/5,5,8
102,2017,2017/4/6,5,10
103,2017,2017/4/3,3,4
104,2017,2017/4/7,3,3
105,2017,2017/4/1,2,4
106,2017,2017/4/2,2,2
107,2017,2017/4/4,1,1
108,2017,2017/5/3,4,7
109,2017,2017/5/4,4,4
110,2017,2017/5/7,4,9
111,2017,2017/5/2,3,4
112,2017,2017/5/1,2,2
113,2017,2017/5/6,2,4
114,2017,2017/5/5,1,4
115,2017,2017/6/6,6,6
116,2017,2017/6/1,4,9
117,2017,2017/6/3,4,5
118,2017,2017/6/4,3,4
119,2017,2017/6/5,3,4
120,2017,2017/6/2,2,5
121,2017,2017/6/7,2,4
122,2017,2017/7/4,8,10
123,2017,2017/7/7,7,13
124,2017,2017/7/1,6,7
125,2017,2017/7/2,6,9
126,2017,2017/7/6,5,6
127,2017,2017/7/3,2,2
