CARRETERA,count
No inventariada,309803
A-7,4028
A-2,3960
AP-7,3068
N-340,2566
A-4,2164
N-634,1784
N-II,1743
C-31,1694
B-10,1680
B-20,1629
A-3,1497
A-8,1425
A-6,1391
C-58,1376
C-32,1361
A-1,1306
C-17,1297
M-40,1250
N-332,1245
A-5,1141
TF-1,1134
A-42,1024
M-50,874
TF-5,867
A-66,865
A-92,846
A-44,790
N-240,744
GC-1,729
N-260,719
C-14,702
C-55,689
SE-30,688
N-550,668
A-55,589
N-232,575
B-23,572
Ma-20,566
N-340a,563
A-49,555
C-16,540
N-630,536
N-432,530
V-30,528
A-62,527
AP-8,521
Ma-19,510
N-VI,502
A-31,499
N-120,492
M-607,457
A-23,451
CV-35,450
C-12,449
C-35,447
M-506,439
AP-68,434
A-67,419
Ma-13,414
V-31,406
AP-9,379
N-420,378
C-25,373
C-59,372
A-52,361
N-330,360
T-11,345
N-1,332
C-66,331
GI-636,330
M-503,328
N-122,321
N-640,319
Ma-15,315
N-230,311
C-63,308
N-637,306
PO-552,304
B-224,302
B-30,300
A-70,293
M-505,290
A-30,288
C-245,287
M-45,286
M-501,284
N-525,284
FV-2,271
N-IIa,268
TF-28,267
C-37,266
C-13,265
BI-637,265
C-65,264
GI-682,261
N-110,261
N-234,255
N-601,244
GC-3,244
C-26,243
C-1413a,242
C-15,240
M-600,240
A-68,238
CAMINO,238
AC-552,229
BP-1417,225
N-320,222
Ma-1,221
A-15,220
N-435,218
CV-50,216
N-502,215
A-8058,214
AP-1,208
A-357,208
N-322,207
B-124,206
AC-550,205
M-404,200
BI-631,199
CV-10,199
MA-20,192
TF-66,189
A-45,188
M-608,187
Ma-10,187
AP-2,187
M-300,187
A-384,186
C.S.D.,185
GC-2,180
C-60,179
N-211,178
A-376,177
LZ-2,176
N-430,173
S-10,173
M-206,169
N-323a,164
CL-626,164
PO-551,164
CV-70,160
EI-300,159
A-316,157
BV-5001,157
N-351,156
A-43,156
PO-308,155
AS-17,154
N-623,154
TF-21,149
N-IV,149
V-21,149
